ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences	mPTPClusterID
AQX45759__KX343069.1	KX343069.1_Bat bocavirus	1329649	Bat bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KX343069.1	Bocaparvovirus	unclassified Bocaparvovirus	KX343069.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AQX45759	KX343069.1	AQX45759,AIF74223	AQX45759__KX343069.1_Species 14
AEZ53135__JN681175.1	JN681175.1_Porcine bocavirus 3C	1138844	Porcine bocavirus 3C	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5;Porcine bocavirus 3	JN681175.1	Bocaparvovirus	Porcine bocavirus 3	JN681175.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5;Porcine bocavirus 3	AEZ53135	JN681175.1	AEZ53135,AHK26983,AHK27013,AEZ53136,AHK27054,AHK27051	AEZ53135__JN681175.1_Species 31
ACR15784__FJ973562.1	FJ973562.1_Human bocavirus 3	638313	Human bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 1	FJ973562.1	Bocaparvovirus	Primate bocaparvovirus 1	FJ973562.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 1	ACR15784	FJ973562.1	ACR15784,ACR15789,AJD85765,AJC01335,ADJ37021,YP_002808454,AEK66110,ADD39265,ACR15783,ADH44723,ADH44719,ACR43452,ACH81927,ACR15788,ALS31341	ACR15784__FJ973562.1_Species 16
AKI82155__KR261072.1	KR261072.1_Parvovirus fur seal/ATROP41/BR/2012	1659801	Parvovirus fur seal/ATROP41/BR/2012	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KR261072.1	unclassified Parvovirinae	unclassified Parvovirinae	KR261072.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	AKI82155	KR261072.1	AKI82155	AKI82155__KR261072.1_Species 8
AQR59122__KX133425.1	KX133425.1_Chicken parvovirus	1136878	Chicken parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Aveparvovirus;Galliform aveparvovirus 1	KX133425.1	Aveparvovirus	Galliform aveparvovirus 1	KX133425.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Aveparvovirus;Galliform aveparvovirus 1	AQR59122	KX133425.1	AQR59122,AQR59118,AQR59110	AQR59122__KX133425.1_Species 28
ATW21589__KY403998.1	KY403998.1_Canine parvovirus	10788	Canine parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Carnivore protoparvovirus 1;Feline panleukopenia virus	KY403998.1	Protoparvovirus	Feline panleukopenia virus	KY403998.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Carnivore protoparvovirus 1;Feline panleukopenia virus	ATW21589	KY403998.1	ATW21589,ASV51682,ASV51678,ATG23766,ATG23762,ATG23758,ATG23754,ATG23750,ATG23746,ATE88980,ATE88976,ATE88972,AFL47804,AFL47800,AST15065,BBA20369,BBA20367,ASJ27405,ASJ27404,ASJ27403,ASJ27402,ASJ27401,ASJ27400,ASJ27399,ASJ27398,BAX77880,BAX77876,P12929,P27438,P24842,ARJ36692,ARJ36688,ARJ36684,ARJ36680,ARJ36676,ARJ36672,ARJ36668,ARJ36664,ARJ36660,AQX37229,APW77684,APU54685,APT42872,ANQ46684,ANQ46680,ANQ46676,ANH58937,ALC79694,ALC79690,ALC79686,ALC79682,ALC79678,ALC79674,ALC79670,ALC79666,ALC79662,ALC79658,ALC79654,ALC79650,ALC79646,ALO18546,AKI88070,AMA21668,ALO18550,ALC79642,AIE48225,AKF02406,AKF02405,AKF02404,AKF02403,AKF02402,AKF02401,AKF02400,AKF02399,AKF02398,AKF02397,AKF02396,AKF02395,AKF02394,AKF02393,AKF02392,AKF02391,AKF02390,AKF02389,AKF02388,AJF44428,AJK93596,AIR95655,AIW67649,AIW67645,AIW67641,AIW67637,AIW67633,AIW67629,AIW67625,AIW67621,AIW67617,AIW67613,AIW67609,AIW67605,AIW67601,AIW67597,AIW67593,AIW67589,AIW67585,AIW67581,AIW67577,AIW67573,AIW67569,AIW67565,AIW67561,AIW67557,AIW67553,AIW67549,AIW67545,AIW67541,AIW67537,AIW67533,AIW67529,AIW67525,AIW67521,AIW67517,AIW67513,AIW67509,AIW67505,AIW67501,AIW67497,AIW67493,AIW67489,AIW67485,AIO11146,AHB32115,ADW27380,ADW27378,ADW27376,ADW27374,ADW27372,ADW27370,ADW27368,ADW27366,ADW27364,AGY29652,AGK27870,AEO92090,AFW04077,NP_041399,AFK66754,AET75144,AET75140,AET75136,AET75132,AET75128,AET75124,AET75120,AET75116,AET75112,AER12789,AEK69511,AEK69510,AEK69509,AEK69508,AEK69507,ABK06751,ACV30041,ABS18274,AAC37927,AAB02798,AAA67459,ACD37415,ACD37411,ACD37407,ACD37403,ACD37399,ACD37395,ACD37391,ACD37387,ACD37383,ACD37379,ACD37375,AAV36786,AAV36782,AAV36778,AAV36774,AAV36772,AAV36769,AAV36768,AAV36767,AAV36766,AAV36765,AAV36764,ABY27641,AAV54180,AAV54178,AAV54174,AAV54172,BAA19030,BAA19028,BAA19026,BAA19024,BAA19023,BAA19021,BAA19019,BAA19018,BAA19016,BAA19014,BAA19012,BAA19010,BAA19009,ACM46825,BAA05072,BAA00662,CAA38910,CAE47433,AFX67057,P06431,AAA47160	ATW21589__KY403998.1_Species 8
AFR53039__JQ923422.1	JQ923422.1_Human bocavirus	329641	Human bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	JQ923422.1	Bocaparvovirus	unclassified Bocaparvovirus	JQ923422.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AFR53039	JQ923422.1	AFR53039,AFC37600,ACX50492,ATN39858,ATN39854,ARS03587,AND46439,AND46435,AND46431,BAH22699,BAH22695,BAH22691,BAH22687,BAH22683,BAH22679,BAH22675,BAH22671,BAH22667,BAH22663,BAH22659,BAH22655,BAH22651,BAH22647,BAH22643,AOL02442,AOL02438,ABK32023,AJC68707,AKP16746,AKP16742,AKP16738,AKP16734,AKP16730,AKP16726,AKP16722,AKP16718,AKP16714,AKP16710,AKP16706,AKP16702,AKP16698,AKP16694,AKP16690,AJD85757,AIZ00498,AIZ00494,AIZ00490,AIZ00486,AIL23578,AIL23574,AID68255,AID68251,AID68247,AID68243,AID68237,AID68233,AID68230,AID68228,AID68224,AID68220,AID68218,AID68214,AID68210,ACN29631,AIC76457,AGL10839,AEY75576,AEY75572,AEY75568,AEY75564,AEY75560,AEY75556,AEY75552,AEY75548,AEY75544,AFU35709,AFU35708,AFU35704,AFU35700,AFU35696,AFU35692,AFU35688,AFU35684,AFU35680,AFU35676,AFU35672,AFU35668,AFU35664,AFU35660,AFU35656,AFU35652,AFU35648,AFU35644,AFU35640,AFU35636,AFU35632,AFU35628,AFU35624,AFU35620,AFU35616,AFU35612,AFU35608,AFU35604,AFU35600,AGC92294,AFY23246,AFY23242,AFY23238,AEW07384,AEW07380,AFR53040,AFC37603,YP_338086,AEX15205,AEX15201,AEX15197,AEX15193,AEX15189,AEX15185,AEX15181,BAL42426,AER93229,AER93225,AER93221,ACP39931,ACP39927,AEO12103,ACV20861,ACV20857,AEA41859,AEA41855,AEA41851,AEA41847,ADV58353,ACS74764,ACX50493,ACL50976,ABN46902,ABN46898,ABN46894,ADB93927,ACH90139,ACY82519,ABR26352,ABR26348,ABR26344,ABR26340,ABR26336,ABR26332,ABR26328,ABR26324,ABR26320,ABR26316,ABR26312,ABR26308,ABR26304,ABR26300,ABR26296,ABR26292,ABR26288,ABR26284,ABR26280,ABR26276,ABR26272,ABR26268,ABR26264,ABR26260,ACX47175,ACX47171,ACX47167,AAY45700,AAY45696,ABK32027,ACG75868,ACG75860,ACG75856,ACG75852,ACG75848,ACG75844,ACG75840,ACG75836,ACG75832,ACG75828,ACG75824,ACG75820,ACG75816,ACG75812,BAH56354,BAH56358,BAH56362,BAH56366,BAH56370,BAH56374,BAH56378,ACM17825,ABX57867,ABX57863,ABQ57490,ABO32638,ABE73066,ABG77282,ABC67800,ASS83768	AFR53039__JQ923422.1_Species 16
AKM49967__KP733795.1	KP733795.1_Corn snake parvovirus	1670663	Corn snake parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	KP733795.1	Dependoparvovirus	unclassified Dependoparvovirus	KP733795.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	AKM49967	KP733795.1	AKM49967	AKM49967__KP733795.1_Species 20
AAL09673__AF406967.1	AF406967.1_Bovine parvovirus 3	172297	Bovine parvovirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Ungulate erythroparvovirus 1	AF406967.1	Erythroparvovirus	Ungulate erythroparvovirus 1	AF406967.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Ungulate erythroparvovirus 1	AAL09673	AF406967.1	AAL09673	AAL09673__AF406967.1_Species 2
AQR59123__KX133426.1	KX133426.1_Chicken parvovirus	1136878	Chicken parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Aveparvovirus;Galliform aveparvovirus 1	KX133426.1	Aveparvovirus	Galliform aveparvovirus 1	KX133426.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Aveparvovirus;Galliform aveparvovirus 1	AQR59123	KX133426.1	AQR59123,AQR59100,AQR59125,AQR59119,AIW53329,AJB28748,AJB28740	AQR59123__KX133426.1_Species 10
AHK27040__KF025419.1	KF025419.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025419.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025419.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK27040	KF025419.1	AHK27040,AHK27056	AHK27040__KF025419.1_Species 31
AAL09674__AF406967.1	AF406967.1_Bovine parvovirus 3	172297	Bovine parvovirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Ungulate erythroparvovirus 1	AF406967.1	Erythroparvovirus	Ungulate erythroparvovirus 1	AF406967.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Ungulate erythroparvovirus 1	AAL09674	AF406967.1	AAL09674	AAL09674__AF406967.1_Species 22
AHK27028__KF025407.1	KF025407.1_Porcine bocavirus 2	1048220	Porcine bocavirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 2	KF025407.1	Bocaparvovirus	Ungulate bocaparvovirus 2	KF025407.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 2	AHK27028	KF025407.1	AHK27028,AHK27021	AHK27028__KF025407.1_Species 34
AIF74241__KJ641681.1	KJ641681.1_Bat parvovirus	1514704	Bat parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KJ641681.1	unclassified Parvovirinae	unclassified Parvovirinae	KJ641681.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	AIF74241	KJ641681.1	AIF74241,AIF74242	AIF74241__KJ641681.1_Species 35
AFM30852__JQ177083.1	JQ177083.1_Porcine hokovirus	494652	Porcine hokovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 2	JQ177083.1	Tetraparvovirus	Ungulate tetraparvovirus 2	JQ177083.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 2	AFM30852	JQ177083.1	AFM30852	AFM30852__JQ177083.1_Species 40
ASC49334__KY640430.1	KY640430.1_Dromedary camel bocaparvovirus 1	2014603	Dromedary camel bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640430.1	Bocaparvovirus	unclassified Bocaparvovirus	KY640430.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASC49334	KY640430.1	ASC49334,ASC49282,YP_009389292,ASC49330,ASC49310,ASC49306,ASC49298,ASC49290	ASC49334__KY640430.1_Species 13
ADP36997__HQ223038.1	HQ223038.1_Bocavirus pig/SX/China/2010	912967	Bocavirus pig/SX/China/2010	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 3;Porcine bocavirus SX	HQ223038.1	Bocaparvovirus	Porcine bocavirus SX	HQ223038.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 3;Porcine bocavirus SX	ADP36997	HQ223038.1	ADP36997,AHK27004,BAU68099,AEI99168,AGJ70271,AIH14828,AKT09391,AHK27036,AHK27031,AHK27027,AHK27022,AHK27019,ADP36998,AEI99169,AKT09392	ADP36997__HQ223038.1_Species 34
AQR59127__KX133427.1	KX133427.1_Chicken parvovirus	1136878	Chicken parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Aveparvovirus;Galliform aveparvovirus 1	KX133427.1	Aveparvovirus	Galliform aveparvovirus 1	KX133427.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Aveparvovirus;Galliform aveparvovirus 1	AQR59127	KX133427.1	AQR59127,AQR59121,AQR59117,AQR59109,AQR59105,AQR59088,AQR59080,AQR59076,APT42881,APR73489,AMZ04138,AIW53331,AIW53327,AJB28750,AJB28746,AJB28742,AKA44556,AKA44552,AKA44548,YP_009046820,ADD22715,ADD22707,AQR59102,AQR59128,AQR59106,AQR59089,AQR59081,AQR59077,APT42882,AIW53332,AIW53328,AJB28751,AJB28747,AJB28743,YP_009046821,ADD22716,ADD22708	AQR59127__KX133427.1_Species 28
ASC49336__KY640430.1	KY640430.1_Dromedary camel bocaparvovirus 1	2014603	Dromedary camel bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640430.1	Bocaparvovirus	unclassified Bocaparvovirus	KY640430.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASC49336	KY640430.1	ASC49336,ASC49337	ASC49336__KY640430.1_Species 30
ALR87696__KT241026.1	KT241026.1_Canine minute virus	329639	Canine minute virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 1	KT241026.1	Bocaparvovirus	Carnivore bocaparvovirus 1	KT241026.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 1	ALR87696	KT241026.1	ALR87696,ASM93492,BAJ12129,BAJ12125,BAJ12121,ADA57645,ACL31580,NP_758521,AAM15964,BAD72954	ALR87696__KT241026.1_Species 14
AIF74245__KJ641683.1	KJ641683.1_Bat parvovirus	1514704	Bat parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KJ641683.1	unclassified Parvovirinae	unclassified Parvovirinae	KJ641683.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	AIF74245	KJ641683.1	AIF74245	AIF74245__KJ641683.1_Species 8
AIE58040__KM035804.1	KM035804.1_Sesavirus CSL10538	1519097	Sesavirus CSL10538	Viruses;ssDNA viruses;Parvoviridae;unclassified Parvoviridae	KM035804.1	undef	unclassified Parvoviridae	KM035804.1_Viruses;ssDNA viruses;Parvoviridae;unclassified Parvoviridae	AIE58040	KM035804.1	AIE58040	AIE58040__KM035804.1_Species 36
ARQ18929__KY581737.1	KY581737.1_Gorilla bocaparvovirus 2	1986196	Gorilla bocaparvovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2	KY581737.1	Bocaparvovirus	Primate bocaparvovirus 2	KY581737.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2	ARQ18929	KY581737.1	ARQ18929,ARQ18924,ARQ18930,ARQ18925	ARQ18929__KY581737.1_Species 33
YP_003799996__HM145750	HM145750_Bocavirus gorilla/GBoV1/2009	864686	Bocavirus gorilla/GBoV1/2009	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 1;Gorilla bocavirus	HM145750	Bocaparvovirus	Gorilla bocavirus	HM145750_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 1;Gorilla bocavirus	YP_003799996	HM145750	YP_003799996,ADK34009,AER93217,ACG75864,ASS83769	YP_003799996__HM145750_Species 16
ASC49352__KY640434.1	KY640434.1_Dromedary camel bocaparvovirus 1	2014603	Dromedary camel bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640434.1	Bocaparvovirus	unclassified Bocaparvovirus	KY640434.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASC49352	KY640434.1	ASC49352,ASC49288,ASC49332,ASC49353	ASC49352__KY640434.1_Species 30
AOX47681__KU321654.1	KU321654.1_Miniopterus schreibersii bat bocaparvovirus	1911554	Miniopterus schreibersii bat bocaparvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KU321654.1	Bocaparvovirus	unclassified Bocaparvovirus	KU321654.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AOX47681	KU321654.1	AOX47681,AOX47676,AOX47671,AOX47666,AOX47661,AOX47656,AOX47651,AOX47641,YP_009315891,AOX47686,AOX47646	AOX47681__KU321654.1_Species 14
AHK27048__KF025427.1	KF025427.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025427.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025427.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK27048	KF025427.1	AHK27048	AHK27048__KF025427.1_Species 31
AEM37613__JN420366.1	JN420366.1_California sea lion bocavirus 2	1073960	California sea lion bocavirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 1	JN420366.1	Bocaparvovirus	Pinniped bocaparvovirus 1	JN420366.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 1	AEM37613	JN420366.1	AEM37613	AEM37613__JN420366.1_Species 34
YP_003799998__HM145750	HM145750_Bocavirus gorilla/GBoV1/2009	864686	Bocavirus gorilla/GBoV1/2009	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 1;Gorilla bocavirus	HM145750	Bocaparvovirus	Gorilla bocavirus	HM145750_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 1;Gorilla bocavirus	YP_003799998	HM145750	YP_003799998,ADK34011	YP_003799998__HM145750_Species 33
BAS32608__AB982223.1	AB982223.1_Bufavirus-3	1391667	Bufavirus-3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	AB982223.1	unclassified Parvovirinae	unclassified Parvovirinae	AB982223.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	BAS32608	AB982223.1	BAS32608,BAS32605,BAS32602,BAS32599,BAS32595,YP_009058894,BAO56910,BAO56906,BAO56902,AFN44276,BAS32598,AIU47672,AFN44273,AFN44270,AFN44267,AIU47675,AIA23800	BAS32608__AB982223.1_Species 8
AHK27062__KF025441.1	KF025441.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025441.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025441.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK27062	KF025441.1	AHK27062	AHK27062__KF025441.1_Species 31
CAA66227__X97629.1	X97629.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	X97629.1	Amdoparvovirus	Carnivore amdoparvovirus 1	X97629.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	CAA66227	X97629.1	CAA66227,ATX68200	CAA66227__X97629.1_Species 7
AAA42376__J01901.1	J01901.1_Adeno-associated virus - 2	10804	Adeno-associated virus - 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A	J01901.1	Dependoparvovirus	Adeno-associated dependoparvovirus A	J01901.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A	AAA42376	J01901.1	AAA42376	AAA42376__J01901.1_Species 20
ATE46000__KY094494.1	KY094494.1_Porcine parvovirus 6	1472911	Porcine parvovirus 6	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	KY094494.1	Protoparvovirus	unclassified Protoparvovirus	KY094494.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	ATE46000	KY094494.1	ATE46000,AOE23875,AOE23873,AOE23871,AOE23869,AOE23867,AOE23865,AOE23863,AOE23861,AOE23859,AOE23857,AOE23855,ANO39503,ALJ96713,ALJ96711,ALJ96709,ALJ96707,ALJ96705,ALJ96703,ALJ96701,YP_009021566,AHM24965,AHM24963,AHM24961,AHM24959,AHM24957	ATE46000__KY094494.1_Species 36
P36310__undef	undef_LuIII virus	35339	LuIII virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1	undef	Protoparvovirus	Rodent protoparvovirus 1	undef_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1	P36310	undef	P36310	P36310__undef_Species 19
AIH14826__KJ755665.1	KJ755665.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KJ755665.1	Bocaparvovirus	unclassified Bocaparvovirus	KJ755665.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AIH14826	KJ755665.1	AIH14826,AGJ70269,BAU68097,AKT09389,ADP36995,AHK27002	AIH14826__KJ755665.1_Species 14
AQS80292__KX981921.1	KX981921.1_Skunk amdoparvovirus	1961072	Skunk amdoparvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;unclassified Amdoparvovirus	KX981921.1	Amdoparvovirus	unclassified Amdoparvovirus	KX981921.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;unclassified Amdoparvovirus	AQS80292	KX981921.1	AQS80292	AQS80292__KX981921.1_Species 7
ASC49356__KY640435.1	KY640435.1_Dromedary camel bocaparvovirus 1	2014603	Dromedary camel bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640435.1	Bocaparvovirus	unclassified Bocaparvovirus	KY640435.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASC49356	KY640435.1	ASC49356	ASC49356__KY640435.1_Species 30
AGS15081__KF206165.1	KF206165.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KF206165.1	Bocaparvovirus	unclassified Bocaparvovirus	KF206165.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGS15081	KF206165.1	AGS15081,ADI60252,AGS15073,AGS15042,AHK27005	AGS15081__KF206165.1_Species 14
AFN44278__JX027297.1	JX027297.1_Bufavirus-2	1209383	Bufavirus-2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	JX027297.1	unclassified Parvovirinae	unclassified Parvovirinae	JX027297.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	AFN44278	JX027297.1	AFN44278	AFN44278__JX027297.1_Species 19
AOY07790__KU871315.1	KU871315.1_Human parvovirus 4	289365	Human parvovirus 4	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1	KU871315.1	Tetraparvovirus	Primate tetraparvovirus 1	KU871315.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1	AOY07790	KU871315.1	AOY07790,AOY07787,AEE69129,AEE69126,AEE69123,AIC33859,AIC33856,AIC33853,AIX96903,AIX96901,YP_238483,ADM26646,ACF94532,ABK00522,AAU88154,AFD01581,ACD71481,ACD71479,ACD71475,ACD71473,ACD71471,ACD71469,ABV71693,ABV71691,ACY78470,ABY67677,ABK00520,ABK00518,ABK00516,ABK00514,ABK00512,AFD01578,AFD01600,AFD01575,AFD01584,AFD01586,AET35087,AET35079,AET35073,AET35071,AET35069,AET35093,AET35091,AET35085,AET35077,AFD01592,AFD01589,AFD01572,AFD01594,AOY07791,AOY07788,AEE69130,AEE69127,AEE69124,AIC33860,AIC33857,AIC33854,ADM26647,AFD01582,ABY67678,AFD01579,AFD01601,AFD01576,AFD01587,AFD01585,AFD01607,AFD01605	AOY07790__KU871315.1_Species 26
ATE46001__KY094494.1	KY094494.1_Porcine parvovirus 6	1472911	Porcine parvovirus 6	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	KY094494.1	Protoparvovirus	unclassified Protoparvovirus	KY094494.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	ATE46001	KY094494.1	ATE46001,AOE23876,AOE23874,AOE23872,AOE23870,AOE23868,AOE23866,AOE23864,AOE23862,AOE23860,AOE23858,AOE23856,ANO39504,ALJ96714,ALJ96712,ALJ96710,ALJ96708,ALJ96706,ALJ96704,ALJ96702,YP_009021567,AHM24966,AHM24964,AHM24962,AHM24960,AHM24958	ATE46001__KY094494.1_Species 24
